"content","label"
"Balochis are proud Pakistanis, and Balochistan was, is and always will be Pakistan, Insha'Allah.

Indian Occupied Kashmir will be free, it's written on the wall!  #FreeKashmir #FreeKashmir","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"#yasinmalik #yasinmalik  #saveyasinmalik #saveyasinmalik  #kashmir #kashmir   #freekashmir #freekashmir   #savekashmir #savekashmir  #kashmirvalley #kashmirvalley","Negative"
"Trigger warning: Trigger warnings are the unfunniest joke in a world where children are r*ped, slaughtered, dismembered, and orphaned. Grow a pair.  I HOPE this post triggered you! #FreePalestine #FreePalestine  #Gaza #Gaza   #freekashmir #freekashmir","Negative"
"آ عندلیب مل کریں آہ و زاریاں
تو ہائے گل پکار میں چلاؤں ہائے دل #Kashmir #Kashmir   #FreeKashmir #FreeKashmir   #srinagar #srinagar  #illegaloccupation #illegaloccupation  #kashmirtiger #kashmirtiger  #Article370 #Article370  #KashmirBleeds #KashmirBleeds  #KashmirWithForces #KashmirWithForces","Negative"
"We Stand with Kashmir Students

 We condemn brutal arrests & demand immediate release of students unconditional withdrawal of FIRs & a peaceful solution respecting Kashmir's will
Let's raise our voices for Kashmir's freedom #KashmirDeservesJustice #KashmirDeservesJustice  #StandWithKashmir #StandWithKashmir   #FreeKashmir #FreeKashmir","Negative"
"Pakistan’s atrocities in POJK and Gilgit - Baltistan cannot be swept under the rug. Raise your voice, spread awareness and support the fight for freedom and justice. #StopPakistanAtrocities #StopPakistanAtrocities   #FreeKashmir #FreeKashmir   #SambhalKaSach #SambhalKaSach  #11yearsofjandhan #11yearsofjandhan  #FloodAlert #FloodAlert  #raviriver #raviriver  @GreaterKashmir @GreaterKashmir","Negative"
"We deserve to have our demands met #Kashmir #Kashmir   #freekashmir #freekashmir   #freeourpeople #freeourpeople  #righttoprotest #righttoprotest","Negative"
"#freekashmir #freekashmir   #FloodsInPakistan #FloodsInPakistan  #zonauang #zonauang","Negative"
"بھوک ہڑتال طلبہ کی گرفتاری کہ بعد راولاکوٹ میں عوامی سمندر امڈ آیا  راولاکوٹ شہر  نعرون سے گونج رہا ہے #StopStateTerrorism #StopStateTerrorism  #rawalakot #rawalakot  #Kashmir #Kashmir   #freekashmir #freekashmir","Negative"
"""Stop #JCB #JCB 's Bulldozer #Genocide #Genocide A report on Human Rights Violations #Palestine #Palestine , #India #India and #Kashmir #Kashmir "", 22 January 2025 #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir   #Muslims #Muslims  #Israel #Israel Download here https://southasiasolidarity.org/wp-content/uploads/2019/09/MainText_merged.pdf… https:// oads/2019/09/MainText_merged.pdf …","Negative"
"India’s “democracy” in IIOJK now means stealing schools and silencing pens. Afraid of knowledge, because truth writes its own freedom.  #IIOJK #IIOJK   #FreeKashmir #FreeKashmir   #EndOccupation #EndOccupation  #KashmirBleeds #KashmirBleeds  #bb27 #bb27  #BBNaijaS10 #BBNaijaS10  #LoveIsland #LoveIsland  #WINTER #WINTER  #LoveIslandUSA #LoveIslandUSA","Negative"
"#Humanity #Humanity  #ReleaseYasinMalik #ReleaseYasinMalik  #RightsMovementAJK #RightsMovementAJK #  #FreeKashmir #FreeKashmir   #straggleuntilvictory #straggleuntilvictory","Negative"
"Breaking in Another sham unfolds: IIOJK legislature faces a nomination row, proving that democracy under occupation is nothing but political theatre   #FreeKashmir #FreeKashmir   #LoveIslandUSA #LoveIslandUSA  #arkanis #arkanis  #KengNamping #KengNamping  #ZeePruk #ZeePruk  #emiamily #emiamily","Negative"
"Kashmir is not free.
It’s occupied.
Lives monitored, voices crushed, futures stolen.

But no chain is permanent.
No silence is eternal.
Kashmir will rise.  #FreeKashmir #FreeKashmir   #KashmirUnderOccupation #KashmirUnderOccupation  #KashmirWillRise #KashmirWillRise  #VoiceForKashmir #VoiceForKashmir","Negative"
"Indian forces launched yet another cordon & search operation in Baramulla’s Uri area, IIOJK, claiming “suspicious movement” near LoC.  civilians face harassment under the guise of security. Daily military siege exposes India’s colonial grip.  #FreeKashmir #FreeKashmir   #BJP #BJP","Negative"
"जम्मू-कश्मीर का सर्वदलीय प्रतिनिधिमंडल उन जेलों का दौरा करे जहां कश्मीरी कैदी बंद हैं: महबूबा ने उमर अब्दुल्ला से कहा https://hindi.awazthevoice.in/india-news/all-party-delegation-from-j-k-should-visit-jails-where-kashmiri-prisoners-languishing-mehbooba-to-omar-abdullah-66212.html… https:// -party-delegation-from-j-k-should-visit-jails-where-kashmiri-prisoners-languishing-mehbooba-to-omar-abdullah-66212.html …  #jammukashmir #jammukashmir  #jkvisits #jkvisits   #FreeKashmir #FreeKashmir   #MehboobaMufti #MehboobaMufti  #omarabdullah #omarabdullah  #JusticeForKashmir #JusticeForKashmir  #Awazthevoice #Awazthevoice","Negative"
"سب  دلیلیں  بےسر و پا سب فسانے  مسترد!
جو یہاں بیٹھے ہیں بس قبضہ جمانے مسترد!
یوں تو سب دنیا کے پرچم اور ترانے محترم!
جو ہمیں جھٹلائیں وہ پرچم ، ترانے مسترد!
وہ اگر قابض ہیں تو پھر معتبر کہلائیں کیوں؟
یہ بڑے بھائی کے بھاشن ، یہ بہانے مسترد! #Kashmir #Kashmir   #freekashmir #freekashmir","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"#WatchNow #WatchNow : কাশ্মীরে ভারত বিরোধিতার অন্যতম মাস্টারমাইন্ড ইমরান হায়দারই বাংলাদেশে পাক রাষ্ট্রদূত

সব খবর: https://tinyurl.com/3fy2w7a3 https://  #ImranHaider #ImranHaider | #Bangladesh #Bangladesh |  #FreeKashmir #FreeKashmir  | #Pakistan #Pakistan","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"Kashmir lives in shadows of soldiers and silence.
Decades pass, yet freedom remains caged.

But cages break.
And truth survives.
Kashmir will rise.  #FreeKashmir #FreeKashmir   #KashmirWillRise #KashmirWillRise  #KashmirUnderOccupation #KashmirUnderOccupation  #VoiceForKashmir #VoiceForKashmir","Negative"
"#FreeYasinMalik #FreeYasinMalik   #FreeKashmir #FreeKashmir","Negative"
"End illegal detention of Yasin Malik. 
Who is Yasin Malik?
Scan me for full story, please #ReleaseYasinMalik #ReleaseYasinMalik  #SaveYasinMalik #SaveYasinMalik   #FreeKashmir #FreeKashmir","Negative"
"APHC’s message is clear: The UN, Amnesty, ICRC & rights orgs must act. Global silence = complicity.
Kashmir’s political prisoners must be freed — only then can peace & justice take root. #NervesofSteel #NervesofSteel  #CEREMONY #CEREMONY  #River #River  #MeditationCamp #MeditationCamp  #JummahMubarak #JummahMubarak   #FreeKashmir #FreeKashmir","Negative"
"APHC to the UN: Release Kashmiri political detainees NOW. Dozens of leaders, activists, & rights defenders remain jailed in inhumane conditions — silenced for demanding freedom. #VictoryForImranKhan #VictoryForImranKhan  #NervesofSteel #NervesofSteel  #CEREMONY #CEREMONY  #River #River  #MeditationCamp #MeditationCamp  #JummahMubarak #JummahMubarak   #FreeKashmir #FreeKashmir","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"APHC Demands UN Intervention for Release of Kashmiri Detainees  #FreeKashmir #FreeKashmir   #ArnabGoswami #ArnabGoswami  #YasinMalik #YasinMalik","Negative"
"نکلو خواہ ہلکا ہو یا بھاری اور اللہ کی راہ میں اپنے مال اور جان سے جہاد کرو۔ یہ تمہارے لیے بہتر ہے اگر تم جانتے ہو۔

کشمیر میں یہ 79 بمقابلہ 10 لاکھ ہے اور ان کے مخبر #Kashmir #Kashmir   #freekashmir #freekashmir","Negative"
"@grok @grok this is some guys who stands with injustice instead of standing against them #freepalestine #freepalestine   #freekashmir #freekashmir   #freeuyghur #freeuyghur","Negative"
"Allah hu Akbar Islam Zindabad #FreePalestine #FreePalestine #FreeKashmir #FreeKashmir  Israel hostels handover Palestinian Mujahideenu is Israel Government and Israel  Terrorist Army This is the Palestinian People Land","Negative"
"J&K :
The arrest of six police officials for torturing constable Khursheed Ahmad Chohan has raised disturbing questions. Chohan, allegedly tortured for six days, was a victim of a brutal abuse fueled by a Hindutva-driven agenda within certain factions of the police.  #FreeKashmir #FreeKashmir","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"#FreeKashmir #FreeKashmir","Negative"
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail","Negative"
"#Kashmirundersiege #Kashmirundersiege  #Bajaur #Bajaur   #FreeKashmir #FreeKashmir","Negative"
"No one in Pakistan has even heard of a great Pakistan we got our own shit to deal with , plus the only thing that is Pakistan is Kashmir  #FreeKashmir #FreeKashmir","Negative"
"آج راولاکوٹ آزادی کے نعروں گونجے گا اور اسلام آباد اور دہلی سنے گا۔
دن ایک بجے ڈگری کالج گراؤنڈ #راولاکوٹ #راولاکوٹ  #Rawalakot #Rawalakot   #freekashmir #freekashmir","Negative"
"Kashmiri leader Yasin Malik stands as a symbol of freedom and justice. His imprisonment by the Indian government is condemned and must end. Kashmiris seek the right to self determination. All peace loving people are urged to raise their voice. #ReleaseYasinMalik #ReleaseYasinMalik   #FreeKashmir #FreeKashmir","Negative"
"#FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir  ! all occupational forces must quit occupied territory’s","Negative"
"They destroy my homeland   #freekashmir #freekashmir   #kashmir #kashmir","Negative"
